Stop names	Albrechtice,,sídliště[KA]	Albrechtice,,žel.st.[KA]	Havířov,Bludovice,pod kopcem[KA]	Havířov,Bludovice,polská škola[KA]	Havířov,Bludovice,točna Datyňská[KA]	Havířov,Dolní Datyně,točna J.Kotase[KA]	Havířov,Město,Nám.Republiky[KA]	Havířov,Město,nemocnice[KA]	Havířov,Město,obchodní dům[KA]	Havířov,Město,žel.st.[KA]	Havířov,Podlesí,Okrajová u garáží[KA]	Havířov,Podlesí,Těšínská[KA]	Havířov,Podlesí,aut.nádr.[KA]	Havířov,Podlesí,lesopark[KA]	Havířov,Pr.Suchá,žel.st.[KA]	Havířov,Šumbark,M.Pujmanové[KA]	Havířov,Šumbark,Obránců míru[KA]	Havířov,Šumbark,točna 2.etapa[KA]	Havířov,Šumbark,točna Lidická[KA]	Havířov,Šumbark,točna Petřvaldská[KA]	Havířov,Šumbark,Školní[KA]	Havířov,Životice,točna Pacalůvka[KA]	Horní Bludovice,,Adámek[KA]	Horní Bludovice,,Záguří[KA]	Horní Suchá,,Pašůvka[KA]	Horní Suchá,,konečná[KA]	Petřvald,,Březiny[KA]	Petřvald,,Na kopci[KA]	Petřvald,,střed[KA]	Petřvald,,vodárna[KA]	Stonava,,sídl.Nový svět[KA]	Těrlicko,,Zelené Město U Goduly[KA]	Těrlicko,,obecní úřad[KA]	Těrlicko,Hradiště,U Stonávky[KA]	Šenov,,Lapačka[KA]	Šenov,,bytovky[KA]	Šenov,,náměstí[KA]	Šenov,,ČSAD[KA]
Albrechtice,,sídliště[KA]	0	3	9	11	14	16	13	12	12	15	9	10	10	8	11	17	16	18	17	17	16	4	15	13	11	10	22	21	23	19	7	8	8	8	20	19	18	19
Albrechtice,,žel.st.[KA]	3	0	12	13	16	19	14	13	13	15	12	12	12	10	10	17	16	16	17	16	16	6	17	15	10	8	20	19	21	18	5	11	11	11	20	19	18	19
Havířov,Bludovice,pod kopcem[KA]	9	12	0	2	5	7	5	4	4	6	1	1	1	3	6	9	8	11	9	9	7	6	6	5	7	10	17	13	14	11	15	5	5	5	11	11	10	11
Havířov,Bludovice,polská škola[KA]	11	13	2	0	4	6	5	5	4	7	2	2	2	4	7	9	8	11	9	9	8	8	5	5	8	11	17	13	15	12	16	6	6	6	10	11	10	11
Havířov,Bludovice,točna Datyňská[KA]	14	16	5	4	0	3	7	6	6	6	6	5	5	7	8	9	8	11	9	9	7	11	2	5	9	12	17	13	14	11	18	10	10	10	6	10	8	10
Havířov,Dolní Datyně,točna J.Kotase[KA]	16	19	7	6	3	0	8	9	8	6	8	8	7	10	10	8	7	10	9	9	7	13	3	7	11	15	16	12	14	11	20	12	12	12	4	9	7	9
Havířov,Město,Nám.Republiky[KA]	13	14	4	5	6	8	0	2	2	3	5	4	4	5	6	5	4	8	6	6	4	9	8	9	7	9	14	9	11	8	14	9	9	9	8	7	6	7
Havířov,Město,nemocnice[KA]	12	13	5	5	6	9	2	0	1	4	5	4	4	5	4	6	5	7	6	6	5	9	8	9	6	8	14	10	12	9	13	9	9	9	9	8	7	8
Havířov,Město,obchodní dům[KA]	12	13	4	4	6	8	1	1	0	4	4	4	3	5	5	6	5	7	6	6	5	9	8	9	6	8	14	10	12	8	13	8	8	8	9	8	7	8
Havířov,Město,žel.st.[KA]	15	15	7	7	6	6	4	4	4	0	7	6	6	7	7	3	2	5	3	3	2	12	8	11	9	10	11	7	9	6	15	11	11	11	6	5	4	5
Havířov,Podlesí,Okrajová u garáží[KA]	10	12	1	2	6	8	5	5	4	7	0	1	2	2	6	9	8	11	9	9	8	6	7	6	6	10	17	13	15	12	15	5	5	5	12	11	10	11
Havířov,Podlesí,Těšínská[KA]	10	12	1	2	5	8	4	4	4	6	1	0	1	3	5	8	7	10	8	9	7	7	7	6	6	9	16	12	14	11	14	5	5	5	11	10	9	10
Havířov,Podlesí,aut.nádr.[KA]	10	12	1	2	5	7	4	4	3	6	2	1	0	3	5	8	7	10	8	8	7	7	7	6	6	9	16	12	14	11	14	6	6	6	11	10	9	10
Havířov,Podlesí,lesopark[KA]	8	10	3	4	7	10	5	5	5	7	2	3	3	0	4	9	8	11	10	10	8	5	9	8	5	9	17	14	15	12	14	6	6	6	12	11	10	11
Havířov,Pr.Suchá,žel.st.[KA]	11	10	6	7	8	10	6	5	5	7	6	5	5	4	0	9	8	9	9	8	8	8	10	10	2	5	14	12	14	11	10	9	9	9	12	11	10	11
Havířov,Šumbark,M.Pujmanové[KA]	17	17	9	9	9	8	6	6	6	3	9	8	8	10	10	0	2	6	2	4	2	14	10	13	11	12	11	7	9	5	17	13	13	13	6	4	4	4
Havířov,Šumbark,Obránců míru[KA]	16	16	8	8	8	7	5	5	5	2	8	7	7	9	9	2	0	5	2	3	1	13	9	12	10	11	10	6	8	5	17	12	12	12	6	4	4	4
