Stop names	Babice[]	Bojkovice,,Zeveta[]	Bojkovice,,u lékárny[]	Bojkovice,,škola[]	Bojkovice,,žel.st.[]	Bojkovice,Bzová,střed[]	Bojkovice,Přečkovice[]	Boršice u Blatnice,,pošta[]	Boršice,,Obecní úřad[]	Buchlovice,,náměstí[]	Bystřice p.Lop.,,hor.zast.[]	Bystřice p.Lop.,,zvonice[]	Bánov,,Obecní úřad[]	Bánov,,náměstí[]	Bílovice,,točna[]	Bílovice[]	Břestek,Chabaně,rozc.0.3[]	Břestek,Chabaně[]	Březolupy,,zámek[]	Březová,Olšovec[]	Dobrkovice,,náves[]	Dolní Němčí,,rozc.1.0[]	Dolní Němčí,,zdravotní středisko[]	Dolní Němčí,,škola[]	Hluk,,Autopal[]	Hluk,,hostinec[]	Hluk,,škola[]	Horní Němčí,,točna[]	Hradčovice,,žel.st.[]	Huštěnovice[]	Jalubí[]	Jankovice,,hor.konec[]	Kelníky[]	Komňa,,točna[]	Komňa,Nový dvůr[]	Komňa[]	Korytná,,hor.konec[]	Koryčany,,nám.[]	Kostelany n.Mor.[]	Košíky[]	Kroměříž,,aut.nádr.[]	Kudlovice,Dolina,hájenka[]	Kunovice,,Let[]	Luhačovice,,aut.st.[]	Mistřice,Javorovec[]	Napajedla,,aut.st.[]	Napajedla,,spořitelna[]	Nedakonice,,žel.st.[]	Nezdenice,,žel.st.[]	Nivnice,,škola[]	Ostrožská Lhota,,Jednota[]	Ostrožská Nová Ves,,křiž.[]	Osvětimany[]	Otrokovice,,aut.nádr.Baťov[]	Otrokovice,,žel.st.[]	Ořechov[]	Pašovice,,Obecní úřad[]	Podolí,,U žlebu[]	Polešovice,,Městečko[]	Popovice[]	Rudice,,točna[]	Salaš,,točna[]	Slavkov,,křiž.[]	Staré Hutě,,Obecní úřad[]	Staré Město,,obchodní zóna[]	Staré Město,,žel.st.[]	Starý Hrozenkov,,Obecní úřad[]	Starý Hrozenkov,,celnice[]	Starý Hrozenkov,,pila[]	Strání,,U Popelků[]	Strání,,škola[]	Strání,Květná[]	Stříbrnice[]	Suchá Loz,,ZD[]	Suchá Loz,Volenov[]	Suchá Loz[]	Topolná[]	Tučapy[]	Uherské Hradiště,,aut.nádr.[]	Uherské Hradiště,,nemocnice[]	Uherské Hradiště,Jarošov,náves[]	Uherské Hradiště,Mařatice,Derflanská[]	Uherské Hradiště,Mařatice,Jaktáře[]	Uherské Hradiště,Mařatice,R.Kubíčka[]	Uherské Hradiště,Mařatice,hřbitov točna[]	Uherské Hradiště,Štěpnice,U Olšávky[]	Uherský Brod,,Dům kultury[]	Uherský Brod,,Mariánské náměstí[]	Uherský Brod,,Prakšická[]	Uherský Brod,,Slovácké strojírny[]	Uherský Brod,,Větrná[]	Uherský Brod,,ZŠ Na Výsluní[]	Uherský Brod,,dopravní terminál[]	Uherský Brod,,poliklinika[]	Uherský Brod,,sídliště Olšava[]	Uherský Brod,,Šumická[]	Uherský Brod,Havřice[]	Uherský Brod,Újezdec,žel.st.[]	Uherský Ostroh,,náměstí[]	Uherský Ostroh,,točna[]	Uherský Ostroh,,závod ČD[]	Velehrad,,náměstí[]	Veletiny,,křiž.[]	Velký Ořechov,,aut.st.[]	Veselí n.Mor.,,žel.st.[]	Vlčnov,,Araver[]	Vlčnov,,hor.konec[]	Vlčnov,,křiž.[]	Vlčnov,,sokolovna[]	Vyškovec,Hribovny,točna[]	Vyškovec[]	Vápenice,,Obecní úřad[]	Vápenice,,točna[]	Zlámanec[]	Zlín,,aut.nádr.[]	Částkov,,střed[]	Šumice,,škola[]	Žítková,,rekr.stř.[]	Uherské Hradiště,,garáže ČSAD[]
Babice[]	0	44	44	43	44	49	47	37	17	17	41	41	34	34	20	20	20	21	25	50	34	33	34	33	26	26	27	39	21	3	9	15	32	46	47	47	40	36	14	12	32	8	18	44	22	15	14	17	37	34	27	20	28	18	15	25	31	19	21	20	43	22	36	22	7	10	50	50	52	47	48	48	21	38	37	37	22	20	10	11	16	13	13	13	14	12	28	28	29	29	30	28	28	29	28	29	26	28	27	27	28	13	20	33	32	25	25	25	25	54	56	52	52	29	28	26	33	53	12
Bojkovice,,Zeveta[]	44	0	0	1	0	6	7	33	41	42	16	16	15	16	38	38	47	48	36	26	27	27	27	28	30	31	30	33	25	42	45	56	34	9	9	9	29	61	38	52	63	52	37	18	44	48	48	41	8	25	37	39	53	51	49	50	26	28	46	30	10	54	29	47	37	37	14	14	16	35	36	36	46	20	23	19	41	45	35	36	41	35	38	36	38	37	18	18	19	19	18	19	19	18	18	17	21	18	46	46	47	45	25	30	51	24	24	24	24	22	21	16	16	37	45	31	11	14	35
Bojkovice,,u lékárny[]	44	0	0	1	0	6	7	33	41	42	16	16	15	16	38	38	47	48	36	26	27	27	27	28	30	31	30	33	25	42	45	56	34	9	9	9	29	61	38	52	63	52	37	18	44	48	48	41	8	25	37	39	53	51	49	50	26	28	46	30	10	54	29	47	37	37	14	14	16	35	36	36	46	20	23	19	41	45	35	36	41	35	38	36	38	37	18	18	19	19	18	19	19	18	18	17	21	18	46	46	47	45	25	30	51	24	24	24	24	22	21	16	16	37	45	31	11	14	35
Bojkovice,,škola[]	44	1	1	0	1	7	6	33	41	41	16	16	15	15	37	37	46	47	35	26	27	26	26	27	29	30	29	32	25	41	44	55	33	9	8	8	28	60	37	51	63	51	36	17	43	47	47	40	8	24	37	39	52	50	48	50	25	27	45	29	9	53	28	47	37	37	15	15	17	34	36	35	45	19	22	18	40	45	34	36	40	34	37	35	37	37	17	17	18	19	18	18	18	17	17	16	20	17	45	45	46	44	24	29	50	23	23	23	23	22	21	17	17	36	44	30	11	15	34
Bojkovice,,žel.st.[]	44	0	0	1	0	6	7	33	41	42	16	16	15	16	38	38	47	48	36	26	27	27	27	28	30	31	30	33	25	42	45	56	34	9	9	9	29	61	38	52	63	52	37	18	44	48	48	41	8	25	37	39	53	51	49	50	26	28	46	30	10	54	29	47	37	37	14	14	16	35	36	36	46	20	23	19	41	45	35	36	41	35	38	36	38	37	18	18	19	19	18	19	19	18	18	17	21	18	46	46	47	45	25	30	51	24	24	24	24	22	21	16	16	37	45	31	11	14	35
Bojkovice,Bzová,střed[]	49	6	6	7	6	0	12	37	46	47	12	12	18	19	42	43	52	52	40	22	33	30	30	31	35	36	35	36	30	46	50	61	39	11	12	12	28	66	43	57	68	57	42	23	48	53	52	46	13	25	42	44	57	56	54	55	31	32	51	34	15	59	32	52	42	42	8	9	11	31	32	32	51	19	22	18	46	50	40	41	46	39	43	40	43	42	23	23	23	24	23	24	23	23	23	21	26	23	51	50	51	49	30	35	54	28	28	28	28	18	15	11	11	42	50	36	16	9	40
Bojkovice,Přečkovice[]	47	7	7	6	7	12	0	36	44	44	20	20	18	19	36	36	49	50	34	30	21	29	29	31	33	33	32	35	28	44	48	58	28	13	13	13	32	64	41	55	57	55	40	11	42	44	43	44	11	27	40	42	55	45	43	53	27	30	48	32	5	56	31	50	40	40	20	20	22	38	40	39	49	22	26	21	39	48	38	39	41	37	41	38	40	40	20	21	21	22	21	22	21	21	21	19	24	21	48	48	49	47	28	24	54	26	26	26	26	26	26	22	22	35	39	29	14	20	38
Boršice u Blatnice,,pošta[]	37	33	33	33	33	37	36	0	35	36	26	26	22	23	38	38	41	41	36	27	32	7	8	9	11	12	11	9	22	34	39	48	36	32	33	33	18	55	32	45	68	45	27	33	39	48	47	34	27	12	16	22	43	55	51	39	26	24	34	26	32	47	5	41	30	31	35	36	38	18	20	19	40	18	15	19	41	39	28	29	34	27	31	28	30	30	18	19	19	15	19	20	18	19	19	18	20	19	20	20	21	38	21	33	19	15	15	15	15	39	42	37	38	37	54	31	22	38	28
Boršice,,Obecní úřad[]	17	41	41	41	41	46	44	35	0	6	38	38	31	31	23	23	11	11	28	47	37	31	31	30	24	23	24	37	18	14	16	28	35	44	44	44	37	26	10	24	43	24	16	41	25	31	30	6	34	32	25	18	12	34	31	9	33	16	11	17	40	21	33	12	12	8	47	47	49	44	45	45	5	35	34	34	26	5	13	15	19	14	16	14	17	16	25	25	26	26	27	25	25	26	25	26	23	25	20	20	24	12	17	37	25	22	22	22	22	51	53	49	49	33	44	30	30	50	14
Buchlovice,,náměstí[]	17	42	42	41	42	47	44	35	6	0	38	38	32	32	24	24	6	7	29	48	38	31	31	31	25	24	25	37	19	15	17	28	36	44	45	45	38	22	10	24	40	25	17	41	26	32	31	11	35	32	25	19	17	35	32	14	33	16	16	17	40	19	33	8	12	9	47	48	50	44	46	46	10	35	35	35	27	9	14	15	20	14	17	15	17	16	26	26	26	27	28	26	26	27	26	27	23	26	25	25	26	10	18	37	30	23	23	23	23	51	54	49	50	33	44	30	31	50	14
Bystřice p.Lop.,,hor.zast.[]	41	16	16	16	16	12	20	26	38	38	0	0	7	8	35	35	43	44	32	13	28	19	20	21	26	27	26	25	22	38	41	52	32	7	8	8	18	57	35	48	67	48	33	28	40	45	44	37	16	14	34	36	49	55	51	47	23	24	42	26	21	50	22	44	34	34	11	11	13	21	22	22	42	8	12	8	38	42	31	33	37	31	34	32	34	34	15	15	16	16	15	16	15	15	15	13	18	15	42	42	43	41	21	29	44	20	20	20	20	15	17	13	13	34	49	28	18	14	31
Bystřice p.Lop.,,zvonice[]	41	16	16	16	16	12	20	26	38	38	0	0	7	8	35	35	43	44	32	13	28	19	20	21	26	27	26	25	22	38	41	52	32	7	8	8	18	57	35	48	67	48	33	28	40	45	44	37	16	14	34	36	49	55	51	47	23	24	42	26	21	50	22	44	34	34	11	11	13	21	22	22	42	8	12	8	38	42	31	33	37	31	34	32	34	34	15	15	16	16	15	16	15	15	15	13	18	15	42	42	43	41	21	29	44	20	20	20	20	15	17	13	13	34	49	28	18	14	31
Bánov,,Obecní úřad[]	34	15	15	15	15	18	18	22	31	32	7	7	0	1	28	28	37	38	26	19	22	16	16	17	20	21	20	22	15	32	35	46	26	13	14	14	14	51	28	42	61	42	27	22	34	38	38	31	9	11	27	29	43	48	45	40	16	18	36	20	15	44	18	37	27	27	17	17	19	21	22	22	36	5	8	4	32	35	25	26	31	25	28	26	28	27	8	9	9	9	9	10	9	9	9	7	11	9	36	36	37	35	15	23	40	14	14	14	14	20	23	19	19	27	43	21	11	20	25
Bánov,,náměstí[]	34	16	16	15	16	19	19	23	31	32	8	8	1	0	28	28	37	37	26	19	22	16	17	18	20	21	20	22	15	32	35	46	26	14	15	15	15	51	28	42	60	42	27	22	34	38	38	31	9	11	27	29	42	48	45	40	16	18	36	19	15	44	18	37	27	27	17	17	19	21	22	22	36	5	9	4	31	35	25	26	31	24	28	25	28	27	8	8	9	9	9	9	8	8	8	7	11	8	36	35	36	34	15	22	41	13	13	13	13	21	24	19	19	27	43	21	11	20	25
Bílovice,,točna[]	19	38	38	37	38	42	36	37	23	23	35	35	28	28	0	1	26	27	6	45	15	31	32	33	27	26	27	37	22	17	21	31	13	40	41	41	35	43	20	27	33	27	19	29	7	11	10	23	31	30	27	21	34	21	17	32	12	19	28	20	36	30	34	29	13	17	44	44	46	42	43	43	28	32	32	31	4	27	10	12	6	13	7	12	11	13	21	20	19	24	22	20	22	21	21	22	23	21	28	27	29	21	21	14	33	26	26	26	26	48	50	46	46	11	28	7	27	47	12
Bílovice[]	20	38	38	37	38	42	36	38	23	23	35	35	28	28	1	0	26	27	6	45	15	32	32	33	27	26	27	38	22	17	21	31	13	40	41	41	35	43	20	27	33	27	19	29	7	11	11	23	31	30	27	21	34	21	18	32	12	19	28	20	36	30	34	29	13	17	44	44	46	42	43	43	28	32	32	31	4	27	10	13	6	13	7	12	11	14	21	20	20	24	22	20	22	21	21	22	23	21	28	27	29	21	21	14	33	26	26	26	26	48	50	46	46	11	28	7	27	47	12
Břestek,Chabaně,rozc.0.3[]	20	47	47	46	47	52	49	40	11	6	43	43	37	37	26	26	0	1	31	53	41	36	36	36	30	29	30	42	24	17	19	31	38	49	50	50	43	27	14	27	45	28	22	46	28	35	34	14	40	37	30	24	22	38	34	19	38	21	19	22	45	19	38	13	15	12	52	52	54	49	51	50	15	40	40	39	30	15	17	18	23	19	20	20	20	19	31	31	31	32	33	31	31	32	31	32	28	31	28	28	31	10	23	40	34	28	28	28	28	56	59	54	55	36	47	33	36	55	19
Břestek,Chabaně[]	21	48	48	47	48	52	50	41	11	7	44	44	38	37	27	27	1	0	32	53	42	37	37	37	30	30	31	43	25	18	20	32	39	50	50	51	44	28	15	28	46	28	22	47	29	35	35	15	41	38	31	25	23	39	35	20	39	22	20	23	46	20	39	14	16	12	53	53	55	50	52	51	16	41	41	40	31	15	17	19	23	20	20	21	21	20	32	31	32	33	33	32	31	33	32	32	29	32	29	29	32	10	24	41	34	29	29	29	29	57	59	55	55	37	48	34	37	56	19
Březolupy,,zámek[]	24	36	36	35	36	40	34	36	28	28	32	32	26	26	6	6	31	32	0	43	13	29	30	31	32	31	32	35	26	22	26	36	11	38	39	39	33	48	25	32	38	32	24	27	12	16	16	28	29	27	32	26	39	26	23	37	10	24	33	25	34	35	32	34	18	22	42	42	44	40	41	41	33	30	30	29	9	32	15	17	11	18	12	17	16	18	19	18	17	22	19	18	20	18	19	20	21	19	33	32	33	26	26	12	38	25	25	25	25	45	48	44	44	7	22	5	25	45	17
Březová,Olšovec[]	50	26	26	26	26	22	30	27	47	48	13	13	19	19	45	45	53	54	43	0	39	21	21	22	29	29	28	26	31	48	51	62	43	18	18	18	16	67	44	58	77	58	43	39	51	55	55	47	27	16	36	41	58	65	62	56	33	34	52	35	33	60	23	53	43	43	21	21	23	10	11	11	52	17	13	18	48	51	41	42	47	40	44	41	44	43	25	25	26	21	26	26	25	26	25	25	27	25	44	44	45	50	31	39	45	28	28	28	28	25	27	23	23	44	60	38	29	24	41
Dobrkovice,,náves[]	34	27	27	27	27	32	21	32	37	38	28	28	22	22	15	15	41	41	13	39	0	25	26	27	28	28	27	31	22	31	35	45	8	34	33	33	29	57	34	42	44	41	33	14	21	25	25	37	25	23	35	35	48	31	29	46	6	25	42	26	25	44	27	43	27	31	37	37	39	36	37	37	42	25	26	25	18	41	25	27	20	27	22	26	25	28	15	14	13	18	15	14	15	14	15	15	17	15	42	42	43	35	22	4	47	21	21	21	21	41	44	39	40	14	26	8	20	40	26
Dolní Němčí,,rozc.1.0[]	33	27	27	26	27	30	29	7	31	31	19	19	16	16	31	31	36	37	29	21	25	0	1	2	8	9	8	6	15	31	34	45	29	25	26	26	11	50	27	41	64	41	24	26	36	41	41	30	20	5	16	20	42	51	48	40	20	17	35	19	25	43	3	36	27	26	29	29	31	16	17	17	35	11	8	12	35	35	24	26	30	24	27	25	27	27	12	12	12	8	13	13	11	12	12	11	13	12	24	24	25	34	14	26	25	9	9	9	9	32	35	31	31	30	47	24	16	32	24
Dolní Němčí,,zdravotní středisko[]	33	27	27	26	27	30	29	8	31	31	20	20	16	17	32	32	36	37	30	21	25	1	0	2	8	9	8	7	16	31	35	45	30	26	26	26	11	51	28	41	64	41	24	27	36	42	42	31	20	6	15	20	42	51	48	40	20	17	35	19	25	43	3	37	27	27	29	29	31	17	18	18	36	12	8	13	35	35	24	26	30	24	27	25	27	27	12	12	13	8	13	13	11	13	12	12	14	12	24	23	24	34	14	26	25	9	9	9	9	33	35	31	31	31	47	25	16	32	24
Dolní Němčí,,škola[]	33	28	28	27	28	31	31	9	31	31	21	21	17	18	33	33	36	37	31	22	27	2	2	0	7	8	7	8	17	30	34	44	31	27	27	27	13	51	28	40	64	40	23	28	35	43	43	30	21	7	14	19	42	51	47	40	21	18	35	20	26	43	4	37	26	27	30	30	32	18	19	19	35	13	10	14	36	35	23	25	29	23	26	24	26	26	13	13	14	9	14	14	12	14	13	13	15	13	23	23	24	34	15	27	27	10	10	10	10	34	36	32	32	32	49	26	17	33	23
Hluk,,Autopal[]	26	30	30	29	30	35	33	11	24	25	26	26	20	20	27	27	30	31	32	29	28	8	8	7	0	1	1	14	14	24	28	38	32	32	33	33	19	44	21	34	57	34	17	29	29	37	37	24	23	13	8	13	36	44	41	33	22	15	29	17	28	37	10	30	19	20	36	36	38	24	25	25	29	19	16	20	30	28	17	18	23	17	20	18	20	19	15	14	15	15	16	15	14	15	15	15	12	15	16	16	17	28	12	28	22	7	7	7	7	39	42	38	38	33	50	27	19	39	17
Hluk,,hostinec[]	25	31	31	30	31	36	33	12	24	24	27	27	21	21	26	26	29	30	31	29	29	9	9	8	1	0	1	15	15	23	27	37	33	33	34	34	20	43	20	33	57	33	16	30	28	36	36	23	24	14	7	12	35	43	40	33	23	16	28	18	29	36	11	29	19	19	36	37	39	25	26	26	28	20	17	21	29	28	16	18	22	16	19	17	19	19	16	15	16	16	17	15	15	16	16	16	13	16	15	15	16	27	13	29	21	8	8	8	8	40	43	38	39	34	51	28	20	39	16
Hluk,,škola[]	26	30	30	29	30	35	32	11	25	25	26	26	20	20	27	27	30	31	32	28	28	8	8	7	1	1	0	14	14	24	28	38	32	32	33	33	19	44	21	34	58	34	17	29	29	37	37	24	23	13	8	13	36	44	41	33	22	15	29	17	28	37	10	30	20	20	35	36	38	24	25	25	29	19	16	20	30	29	17	19	23	17	20	18	20	20	15	14	15	15	16	14	14	15	15	15	12	15	16	16	17	28	12	28	22	7	7	7	7	39	42	38	38	33	50	27	19	38	17
Horní Němčí,,točna[]	39	32	32	32	32	36	35	9	37	37	25	25	22	22	37	37	42	43	35	26	31	6	7	8	14	15	14	0	21	37	40	51	35	31	32	32	17	56	33	47	70	47	30	32	42	47	47	36	26	11	22	26	48	57	54	46	26	23	41	25	31	49	4	42	33	32	35	35	37	18	19	19	41	17	14	18	41	41	30	32	36	30	33	31	33	33	18	18	18	14	19	19	17	18	18	17	19	18	27	27	28	40	20	32	26	15	15	15	15	38	41	37	37	36	53	30	22	38	30
Hradčovice,,žel.st.[]	21	25	25	25	25	30	28	22	19	19	22	22	15	15	22	22	24	25	27	31	22	15	16	17	14	15	14	21	0	19	22	33	27	28	28	28	21	38	15	29	53	29	14	25	24	32	32	18	19	16	21	16	30	39	36	27	17	5	23	7	24	31	18	24	15	14	31	31	33	28	29	29	23	19	18	18	25	23	12	14	18	12	15	13	15	14	9	9	10	10	11	9	9	10	10	10	6	10	23	23	24	22	2	23	28	7	7	7	7	35	37	33	33	28	45	22	15	34	12
Huštěnovice[]	3	42	42	41	42	46	44	35	14	14	38	38	32	32	17	17	17	18	22	48	31	31	31	30	24	23	24	37	19	0	9	15	29	44	45	45	38	34	11	11	34	11	16	41	19	18	17	14	35	32	25	18	25	21	18	23	29	16	19	17	40	20	33	20	5	8	47	47	49	44	46	45	19	35	35	34	21	18	7	9	13	11	10	11	11	10	26	26	26	27	28	26	26	27	26	27	23	26	25	25	26	11	18	31	30	23	23	23	23	51	54	49	50	27	30	24	31	50	9
Jalubí[]	9	45	45	44	45	50	48	39	16	16	42	42	35	35	21	21	19	20	26	51	36	34	35	34	28	27	28	40	22	9	0	12	33	47	48	48	41	36	13	8	41	13	20	45	23	24	23	16	38	35	29	22	27	27	24	25	33	20	21	21	44	20	37	22	9	10	51	51	53	48	49	49	21	39	38	38	25	20	12	13	17	15	14	15	15	14	29	29	30	30	31	29	29	30	29	30	27	29	29	29	30	11	21	35	34	26	26	26	26	55	57	53	53	31	36	28	34	54	14
Jankovice,,hor.konec[]	15	56	56	55	56	61	58	49	28	28	52	52	46	46	31	31	31	32	36	62	46	45	45	44	38	37	38	51	33	15	12	0	43	58	59	59	52	47	25	8	47	19	30	55	33	30	29	28	49	46	39	32	39	33	30	36	43	30	32	31	54	32	47	33	19	21	61	61	63	58	60	59	32	49	49	49	35	32	21	23	27	25	24	25	25	24	40	40	40	41	42	40	40	41	40	41	37	40	39	39	40	23	32	45	44	37	37	37	37	65	68	63	64	41	42	38	45	64	24
