Stop names	Kunovice,,Let[]	Staré Město,,obchodní zóna[]	Uherské Hradiště,,aut.nádr.[]	Uherské Hradiště,,nemocnice[]	Uherské Hradiště,Jarošov,náves[]	Uherské Hradiště,Mařatice,Derflanská[]	Uherské Hradiště,Mařatice,Jaktáře[]	Uherské Hradiště,Mařatice,R.Kubíčka[]	Uherské Hradiště,Mařatice,hřbitov točna[]	Uherské Hradiště,Štěpnice,U Olšávky[]	Uherské Hradiště,,garáže ČSAD[]
Kunovice,,Let[]	0	12	9	11	15	9	12	10	13	12	10
Staré Město,,obchodní zóna[]	12	0	3	5	9	7	6	7	7	6	5
Uherské Hradiště,,aut.nádr.[]	9	3	0	3	7	4	3	4	4	4	3
Uherské Hradiště,,nemocnice[]	11	5	3	0	9	6	6	7	7	2	4
Uherské Hradiště,Jarošov,náves[]	15	9	7	9	0	9	4	8	8	10	9
Uherské Hradiště,Mařatice,Derflanská[]	9	7	4	6	9	0	6	1	5	7	5
Uherské Hradiště,Mařatice,Jaktáře[]	12	6	3	6	4	6	0	5	4	7	6
Uherské Hradiště,Mařatice,R.Kubíčka[]	10	7	4	7	8	1	5	0	4	8	5
Uherské Hradiště,Mařatice,hřbitov točna[]	13	7	4	7	7	5	4	4	0	8	6
Uherské Hradiště,Štěpnice,U Olšávky[]	12	6	4	2	10	7	7	8	8	0	5
Uherské Hradiště,,garáže ČSAD[]	10	5	3	4	9	5	6	5	6	5	0
