Stop names	Babice[]	Bojkovice,,Zeveta[]	Bojkovice,,u lékárny[]	Bojkovice,,škola[]	Bojkovice,,žel.st.[]	Bojkovice,Bzová,střed[]	Bojkovice,Přečkovice[]	Boršice u Blatnice,,pošta[]	Boršice,,Obecní úřad[]	Buchlovice,,náměstí[]	Bystřice p.Lop.,,hor.zast.[]	Bystřice p.Lop.,,zvonice[]	Bánov,,Obecní úřad[]	Bánov,,náměstí[]	Bílovice,,točna[]	Bílovice[]	Břestek,Chabaně,rozc.0.3[]	Břestek,Chabaně[]	Březolupy,,zámek[]	Březová,Olšovec[]	Dobrkovice,,náves[]	Dolní Němčí,,rozc.1.0[]	Dolní Němčí,,zdravotní středisko[]	Dolní Němčí,,škola[]	Hluk,,Autopal[]	Hluk,,hostinec[]	Hluk,,škola[]	Horní Němčí,,točna[]	Hradčovice,,žel.st.[]	Huštěnovice[]	Jalubí[]	Jankovice,,hor.konec[]	Kelníky[]	Komňa,,točna[]	Komňa,Nový dvůr[]	Komňa[]	Korytná,,hor.konec[]	Koryčany,,nám.[]	Kostelany n.Mor.[]	Košíky[]	Kroměříž,,aut.nádr.[]	Kudlovice,Dolina,hájenka[]	Kunovice,,Let[]	Luhačovice,,aut.st.[]	Mistřice,Javorovec[]	Napajedla,,aut.st.[]	Napajedla,,spořitelna[]	Nedakonice,,žel.st.[]	Nezdenice,,žel.st.[]	Nivnice,,škola[]	Ostrožská Lhota,,Jednota[]	Ostrožská Nová Ves,,křiž.[]	Osvětimany[]	Otrokovice,,aut.nádr.Baťov[]	Otrokovice,,žel.st.[]	Ořechov[]	Pašovice,,Obecní úřad[]	Podolí,,U žlebu[]	Polešovice,,Městečko[]	Popovice[]	Rudice,,točna[]	Salaš,,točna[]	Slavkov,,křiž.[]	Staré Hutě,,Obecní úřad[]	Staré Město,,obchodní zóna[]	Staré Město,,žel.st.[]	Starý Hrozenkov,,Obecní úřad[]	Starý Hrozenkov,,celnice[]	Starý Hrozenkov,,pila[]	Strání,,U Popelků[]	Strání,,škola[]	Strání,Květná[]	Stříbrnice[]	Suchá Loz,,ZD[]	Suchá Loz,Volenov[]	Suchá Loz[]	Topolná[]	Tučapy[]	Uherské Hradiště,,aut.nádr.[]	Uherské Hradiště,,nemocnice[]	Uherské Hradiště,Jarošov,náves[]	Uherské Hradiště,Mařatice,Derflanská[]	Uherské Hradiště,Mařatice,Jaktáře[]	Uherské Hradiště,Mařatice,R.Kubíčka[]	Uherské Hradiště,Mařatice,hřbitov točna[]	Uherské Hradiště,Štěpnice,U Olšávky[]	Uherský Brod,,Dům kultury[]	Uherský Brod,,Mariánské náměstí[]	Uherský Brod,,Prakšická[]	Uherský Brod,,Slovácké strojírny[]	Uherský Brod,,Větrná[]	Uherský Brod,,ZŠ Na Výsluní[]	Uherský Brod,,dopravní terminál[]	Uherský Brod,,poliklinika[]	Uherský Brod,,sídliště Olšava[]	Uherský Brod,,Šumická[]	Uherský Brod,Havřice[]	Uherský Brod,Újezdec,žel.st.[]	Uherský Ostroh,,náměstí[]	Uherský Ostroh,,točna[]	Uherský Ostroh,,závod ČD[]	Velehrad,,náměstí[]	Veletiny,,křiž.[]	Velký Ořechov,,aut.st.[]	Veselí n.Mor.,,žel.st.[]	Vlčnov,,Araver[]	Vlčnov,,hor.konec[]	Vlčnov,,křiž.[]	Vlčnov,,sokolovna[]	Vyškovec,Hribovny,točna[]	Vyškovec[]	Vápenice,,Obecní úřad[]	Vápenice,,točna[]	Zlámanec[]	Zlín,,aut.nádr.[]	Částkov,,střed[]	Šumice,,škola[]	Žítková,,rekr.stř.[]	Uherské Hradiště,,garáže ČSAD[]
Babice[]	0	54	53	52	50	58	56	34	16	21	43	45	39	38	19	18	20	21	22	53	32	30	29	31	24	22	23	36	23	2	16	17	31	49	46	50	47	45	14	13	46	8	18	48	24	7	8	19	44	41	25	20	29	19	15	25	28	24	23	23	52	26	31	34	13	9	52	55	54	41	42	45	21	43	45	42	15	20	9	13	16	14	13	15	15	15	33	33	34	35	35	34	31	34	35	34	29	41	28	29	28	17	21	32	33	23	27	25	26	55	58	54	56	28	30	25	39	66	11
Bojkovice,,Zeveta[]	54	0	1	2	4	9	9	41	58	61	16	18	22	21	45	44	62	63	48	30	38	34	35	37	39	39	38	42	31	52	57	67	43	10	13	9	37	85	55	63	93	62	46	22	51	55	54	60	11	31	45	50	71	66	61	67	34	43	64	39	20	64	37	74	49	51	19	22	21	42	43	46	63	25	27	24	47	62	45	49	52	46	49	47	50	51	25	25	26	27	25	27	23	24	27	20	25	33	58	59	58	55	33	40	63	34	34	32	33	22	25	21	23	43	57	37	15	22	43
Bojkovice,,u lékárny[]	53	1	0	1	3	8	8	40	57	60	15	17	21	20	44	43	61	62	47	29	37	33	34	36	38	38	37	41	30	51	56	66	42	9	12	8	36	84	54	62	92	61	45	21	50	54	53	59	10	30	44	49	70	65	60	66	33	42	63	38	19	63	36	73	48	50	18	21	20	41	42	45	62	24	26	23	46	61	44	48	51	45	48	46	49	50	24	24	25	26	24	26	22	23	26	19	24	32	57	58	57	54	32	39	62	33	33	31	32	21	24	20	22	42	56	36	14	21	42
Bojkovice,,škola[]	52	2	1	0	2	8	7	39	56	59	15	17	21	20	43	42	60	61	46	29	36	32	33	35	37	37	36	40	29	50	55	65	41	9	12	8	36	83	53	61	91	60	44	20	49	53	52	58	9	30	43	48	69	64	59	65	32	41	62	37	18	62	35	72	47	49	18	21	20	41	42	45	61	24	26	23	45	60	43	47	50	44	47	45	48	49	23	23	24	25	23	25	21	22	25	18	23	31	56	57	56	53	31	38	61	32	32	30	31	21	24	20	22	41	55	35	13	21	41
Bojkovice,,žel.st.[]	50	4	3	2	0	8	6	37	54	57	13	15	19	18	41	40	58	59	44	27	34	30	31	33	35	35	34	38	27	48	53	63	39	7	10	6	34	81	51	59	89	58	42	19	47	51	50	56	7	28	41	46	67	62	57	63	30	39	60	35	16	60	33	70	45	47	16	19	18	39	40	43	59	22	24	21	43	58	41	45	48	42	45	43	46	47	21	21	22	23	21	23	19	20	23	16	21	29	54	55	54	51	29	36	59	30	30	28	29	19	22	18	20	39	54	33	11	21	39
Bojkovice,Bzová,střed[]	58	9	8	8	8	0	14	45	62	65	21	23	27	26	49	48	66	67	52	35	42	38	39	41	43	43	42	46	35	56	61	71	47	15	18	14	42	89	59	67	97	66	50	27	55	59	58	64	15	36	49	54	75	70	65	71	38	47	68	43	24	68	41	78	53	55	24	27	26	47	48	51	67	30	32	29	51	66	49	53	56	50	53	51	54	55	29	29	30	31	29	31	27	28	31	24	29	37	62	63	62	59	37	44	67	38	38	36	37	27	30	26	28	47	62	41	19	13	47
Bojkovice,Přečkovice[]	56	9	8	7	6	14	0	43	60	63	19	21	25	24	47	46	64	65	50	33	40	36	37	39	41	41	40	44	33	54	59	69	45	13	16	12	40	87	57	65	95	64	48	13	53	57	56	62	13	34	47	52	73	68	63	69	36	45	66	41	22	66	39	76	51	53	22	25	24	45	46	49	65	28	30	27	49	64	47	51	54	48	51	49	52	53	27	27	28	29	27	29	25	26	29	22	27	35	60	61	60	57	35	42	65	36	36	34	35	25	28	24	26	45	48	39	17	27	45
Boršice u Blatnice,,pošta[]	34	41	40	39	37	45	43	0	38	41	30	32	26	25	36	35	42	43	39	26	33	7	6	8	10	12	11	9	19	32	37	47	38	36	33	37	22	65	35	43	80	42	30	35	40	41	42	40	31	20	18	23	51	53	49	47	29	27	44	23	39	44	4	54	29	31	39	42	41	14	15	18	43	26	24	27	38	42	25	29	32	26	29	27	30	31	20	20	21	14	22	22	18	21	19	21	20	28	31	32	31	35	17	35	36	15	11	13	12	42	45	41	43	38	58	32	26	53	23
Boršice,,Obecní úřad[]	16	58	57	56	54	62	60	38	0	6	47	49	43	42	24	23	13	14	27	57	37	34	33	35	28	26	27	40	27	14	14	29	36	53	50	54	51	30	12	25	62	24	22	52	28	23	24	16	48	45	29	24	13	35	31	9	33	28	11	27	56	24	35	19	17	7	56	59	58	45	46	49	5	47	49	46	26	4	13	17	20	18	17	19	19	19	37	37	38	39	39	38	35	38	39	38	33	45	32	33	32	15	25	37	37	27	31	29	30	59	62	58	60	33	46	30	43	70	15
Buchlovice,,náměstí[]	21	61	60	59	57	65	63	41	6	0	50	52	46	45	27	26	7	8	30	60	40	37	36	38	31	29	30	43	30	19	19	34	39	56	53	57	54	24	17	30	67	29	25	55	31	28	29	22	51	48	32	27	19	40	36	15	36	31	17	30	59	22	38	13	20	12	59	62	61	48	49	52	11	50	52	49	29	10	16	20	23	21	20	22	22	22	40	40	41	42	42	41	38	41	42	41	36	48	35	36	35	13	28	40	40	30	34	32	33	62	65	61	63	36	49	33	46	73	18
